الشهر,اليوم,الفجر الأول,الفجر الثاني,الشروق,الظهر,العصر,المغرب,العشاء
كانون الثاني,1,5:44,5:59,7:14,12:13,2:50,5:6,6:26
كانون الثاني,2,5:44,5:59,7:14,12:13,2:51,5:6,6:26
كانون الثاني,3,5:44,5:59,7:14,12:14,2:52,5:7,6:27
كانون الثاني,4,5:44,5:59,7:15,12:14,2:54,5:8,6:28
كانون الثاني,5,5:44,5:59,7:15,12:15,2:55,5:9,6:29
كانون الثاني,6,5:43,5:58,7:15,12:15,2:56,5:10,6:30
كانون الثاني,7,5:43,5:58,7:15,12:16,2:57,5:11,6:31
كانون الثاني,8,5:43,5:58,7:15,12:16,2:58,5:12,6:32
كانون الثاني,9,5:43,5:58,7:15,12:16,3:00,5:13,6:33
كانون الثاني,10,5:42,5:57,7:15,12:17,3:00,5:14,6:34
كانون الثاني,11,5:42,5:57,7:15,12:17,3:1,5:15,6:35
كانون الثاني,12,5:42,5:57,7:14,12:17,3:2,5:16,6:36
كانون الثاني,13,5:41,5:56,7:14,12:18,3:3,5:17,6:37
كانون الثاني,14,5:41,5:56,7:14,12:18,3:4,5:18,6:38
كانون الثاني,15,5:41,5:56,7:14,12:19,3:4,5:19,6:39
كانون الثاني,16,5:40,5:55,7:14,12:19,3:5,5:20,6:40
كانون الثاني,17,5:40,5:55,7:14,12:19,3:6,5:21,6:41
كانون الثاني,18,5:40,5:55,7:13,12:20,3:7,5:21,6:41
كانون الثاني,19,5:39,5:54,7:13,12:20,3:8,5:22,6:42
كانون الثاني,20,5:39,5:54,7:12,12:20,3:9,5:23,6:43
كانون الثاني,21,5:38,5:53,7:12,12:20,3:9,5:24,6:44
كانون الثاني,22,5:38,5:53,7:12,12:21,3:10,5:25,6:45
كانون الثاني,23,5:37,5:52,7:11,12:21,3:11,5:26,6:46
كانون الثاني,24,5:37,5:52,7:10,12:21,3:12,5:27,6:47
كانون الثاني,25,5:37,5:52,7:10,12:21,3:14,5:29,6:49
كانون الثاني,26,5:36,5:51,7:9,12:22,3:15,5:30,6:50
كانون الثاني,27,5:36,5:51,7:9,12:22,3:15,5:31,6:51
كانون الثاني,28,5:35,5:50,7:8,12:22,3:16,5:32,6:52
كانون الثاني,29,5:34,5:49,7:7,12:22,3:17,5:33,6:53
كانون الثاني,30,5:33,5:48,7:7,12:22,3:18,5:34,6:54
كانون الثاني,31,5:32,5:47,7:6,12:23,3:19,5:35,6:55
شباط,1,5:32,5:47,7:6,12:23,3:19,5:36,6:56
شباط,2,5:32,5:47,7:5,12:23,3:20,5:37,6:57
شباط,3,5:31,5:46,7:4,12:23,3:21,5:38,6:58
شباط,4,5:30,5:45,7:3,12:23,3:22,5:39,6:59
شباط,5,5:29,5:44,7:2,12:23,3:23,5:40,7:00
شباط,6,5:28,5:43,7:2,12:23,3:24,5:41,7:1
شباط,7,5:28,5:43,7:1,12:23,3:25,5:42,7:2
شباط,8,5:28,5:43,7:00,12:24,3:26,5:43,7:3
شباط,9,5:27,5:42,6:59,12:24,3:26,5:44,7:4
شباط,10,5:26,5:41,6:58,12:24,3:27,5:45,7:5
شباط,11,5:26,5:41,6:57,12:24,3:28,5:46,7:6
شباط,12,5:25,5:40,6:56,12:24,3:29,5:47,7:7
شباط,13,5:24,5:39,6:55,12:24,3:29,5:48,7:8
شباط,14,5:23,5:38,6:54,12:24,3:30,5:48,7:8
شباط,15,5:22,5:37,6:53,12:24,3:31,5:49,7:9
شباط,16,5:21,5:36,6:52,12:24,3:31,5:50,7:10
شباط,17,5:20,5:35,6:52,12:24,3:32,5:51,7:11
شباط,18,5:19,5:34,6:50,12:24,3:33,5:52,7:12
شباط,19,5:18,5:33,6:52,12:24,3:33,5:53,7:13
شباط,20,5:17,5:32,6:49,12:23,3:34,5:54,7:14
شباط,21,5:16,5:31,6:47,12:23,3:34,5:55,7:15
شباط,22,5:15,5:30,6:46,12:23,3:35,5:56,7:16
شباط,23,5:14,5:29,6:45,12:23,3:35,5:56,7:16
شباط,24,5:13,5:28,6:44,12:23,3:36,5:57,7:17
شباط,25,5:12,5:27,6:43,12:23,3:36,5:58,7:18
شباط,26,5:11,5:26,6:42,12:23,3:36,5:59,7:19
شباط,27,5:10,5:25,6:42,12:23,3:37,6:00,7:20
شباط,28,5:9,5:24,6:41,12:23,3:37,6:00,7:20
شباط,29,5:8,5:23,6:39,12:23,3:38,6:2,7:22
آذار,1,5:7,5:22,6:38,12:22,3:38,6:2,7:22
